City,dien_tich_m2,free_do_vs_ca_nhan,phong_tam,tien_ich_phong,ket_sat,toilet,working_table,khu_vuc_tiep_khach,TV,tu_lanh,dien_thoai,may_say_toc,lot_san,am_dun_nuoc,dich_vu_truyen_hinh,tu_quan_ao,view,cach_am,minibar,free_wifi,ghe_sofa,may_fax,bep_an,may_giat,ban_an,ui_quan_ao,giuong,balcony,executive_lounge,may_pha_tra_cf,may_say_quan_ao,connecting_room,chau_rua_vs_bidet,co_thang_may,ho_tro_xe_lan,may_vi_tinh,dieu_hoa,tien_ich_cho_tre_em,ho_boi,tien_ich_giai_tri,outdoor_area,phong_xong_hoi,be_suc,san_trong,price
TP.Ho Chi Minh,29,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2405000
TP.Ho Chi Minh,56,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3055000
TP.Ho Chi Minh,61,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3380000
TP.Ho Chi Minh,18,1,2,1,1,1,1,0,1,0,1,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,846000
TP.Ho Chi Minh,24,1,2,1,1,1,1,0,1,0,1,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,846000
TP.Ho Chi Minh,24,1,2,1,1,1,1,0,1,0,1,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1008000
TP.Ho Chi Minh,36,1,2,1,1,1,1,0,1,0,1,1,0,1,1,1,2,0,1,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1254600
TP.Ho Chi Minh,42,1,2,1,1,1,1,1,1,0,1,1,0,1,1,1,2,0,1,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2088000
TP.Ho Chi Minh,50,1,2,1,1,1,1,1,1,0,1,1,0,1,1,1,2,0,1,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2556000
TP.Ho Chi Minh,100,1,2,1,1,1,1,1,1,0,1,1,0,1,1,1,2,0,1,1,0,0,1,0,1,1,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3852000
TP.Ho Chi Minh,22,1,2,1,1,1,1,0,1,0,1,1,3,1,1,1,0,1,1,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1015650
TP.Ho Chi Minh,24,1,2,1,1,1,1,0,1,0,1,1,3,1,1,1,2,1,1,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1082250
TP.Ho Chi Minh,25,1,2,1,1,1,1,0,1,0,1,1,3,1,1,1,4,1,1,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1182150
TP.Ho Chi Minh,36,1,2,1,1,1,1,1,1,0,1,1,3,1,1,1,4,1,1,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1931400
TP.Ho Chi Minh,48,1,2,1,1,1,1,1,1,0,1,1,3,1,1,1,4,1,1,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,2497500
TP.Ho Chi Minh,36,1,2,1,1,1,1,0,1,0,1,1,3,1,1,1,2,1,1,1,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,2,0,0,0,0,0,0,0,3264879
TP.Ho Chi Minh,20,1,2,1,1,1,1,0,1,0,1,1,3,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,850500
TP.Ho Chi Minh,22,1,2,1,1,1,1,0,1,0,1,1,3,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,913500
TP.Ho Chi Minh,22,1,2,1,1,1,1,0,1,0,1,1,3,1,0,1,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,1071000
TP.Ho Chi Minh,35,1,2,1,1,1,1,0,1,0,1,1,3,1,0,1,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,1260000
TP.Ho Chi Minh,16,1,2,1,2,1,1,0,1,0,1,1,0,1,1,1,2,0,1,1,0,0,0,1,0,0,2,0,0,1,1,1,0,1,1,0,2,1,0,0,0,0,0,0,270000
TP.Ho Chi Minh,25,0,2,0,0,0,0,0,1,0,0,0,0,1,1,1,2,0,0,1,0,0,0,1,0,0,2,0,0,1,1,1,0,0,0,0,2,1,0,0,0,0,0,0,330000
TP.Ho Chi Minh,19,1,2,1,2,1,1,1,1,1,1,1,2,1,1,1,2,0,1,1,0,0,0,1,1,1,2,0,1,1,1,1,1,1,0,0,2,1,0,0,0,0,0,0,375000
TP.Ho Chi Minh,33,1,2,1,2,1,1,1,1,1,1,1,2,1,1,1,4,1,1,1,0,0,0,1,1,1,2,0,1,1,1,1,1,1,0,0,2,1,0,0,0,0,0,0,500000
TP.Ho Chi Minh,45,1,2,1,1,1,1,1,1,1,1,1,0,1,1,1,2,1,0,1,1,0,1,1,1,1,1,0,0,0,1,0,0,1,1,0,3,0,0,0,0,0,0,0,2286900
TP.Ho Chi Minh,85,1,2,1,1,1,1,1,1,1,1,1,0,1,1,1,2,1,0,1,1,0,1,1,1,1,1,0,0,0,1,0,0,1,1,0,3,0,0,0,0,0,0,0,2598750
TP.Ho Chi Minh,69,1,2,1,1,1,1,1,1,1,1,1,0,1,1,1,2,1,0,1,1,0,1,1,1,1,1,0,0,0,1,0,0,1,1,0,3,0,0,0,0,0,0,0,2494800
TP.Ho Chi Minh,97,1,2,1,1,1,1,1,1,1,1,1,0,1,1,1,2,1,0,1,1,0,1,1,1,1,1,0,0,0,1,0,0,1,1,0,3,0,0,0,0,0,0,0,3274425
TP.Ho Chi Minh,103,1,2,1,1,1,1,1,1,1,1,1,0,1,1,1,2,1,0,1,1,0,1,1,1,1,1,0,0,0,1,0,0,1,1,0,3,0,0,0,0,0,0,0,3378375
TP.Ho Chi Minh,16,1,1,0,0,1,1,0,1,0,0,1,3,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,99000
TP.Ho Chi Minh,18,1,2,1,2,1,1,0,1,1,1,1,3,1,1,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,297000
TP.Ho Chi Minh,20,1,2,1,2,1,1,0,1,1,1,1,3,1,1,1,0,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,385000
TP.Ho Chi Minh,31,1,2,1,2,1,1,1,1,1,1,1,3,1,1,1,4,0,1,1,0,0,0,0,0,1,2,0,1,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,522500
TP.Ho Chi Minh,36,1,2,1,2,1,1,1,1,1,1,1,3,1,1,1,4,1,1,1,0,0,0,0,1,1,2,1,1,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,605000
TP.Ho Chi Minh,40,1,2,1,1,1,1,1,1,0,1,1,3,1,1,1,0,1,0,1,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1764533
TP.Ho Chi Minh,40,1,2,1,1,1,1,1,1,0,1,1,3,1,1,1,0,1,0,1,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,2038339
TP.Ho Chi Minh,40,1,2,1,1,1,1,1,1,0,1,1,3,1,1,1,0,1,0,1,1,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,2151869
TP.Ho Chi Minh,42,1,2,1,1,1,1,1,1,0,1,1,3,1,1,1,2,1,0,1,1,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,2485779
TP.Ho Chi Minh,46,1,2,1,1,1,1,1,1,0,1,1,3,1,1,1,2,1,0,1,1,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,2485779
TP.Ho Chi Minh,46,1,2,1,1,1,1,1,1,0,1,1,3,1,1,1,2,1,0,1,1,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1820547
TP.Ho Chi Minh,50,1,2,1,1,1,1,1,1,0,1,1,3,1,1,1,2,1,0,1,1,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,2220179
TP.Ho Chi Minh,50,1,2,1,1,1,1,1,1,0,1,1,3,1,1,1,2,1,0,1,1,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1764533
TP.Ho Chi Minh,50,1,2,1,1,1,1,1,1,0,1,1,3,1,1,1,2,1,0,1,1,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,2038339
TP.Ho Chi Minh,50,1,2,1,1,1,1,1,1,0,1,1,3,1,1,1,2,1,0,1,1,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,2151869
TP.Ho Chi Minh,50,1,2,1,1,1,1,1,1,0,1,1,3,1,1,1,2,1,0,1,1,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,2485779
TP.Ho Chi Minh,50,1,2,1,1,1,1,1,1,0,1,1,3,1,1,1,2,1,0,1,1,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1820547
TP.Ho Chi Minh,50,1,2,1,1,1,1,1,1,0,1,1,3,1,1,1,2,1,0,1,1,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1901436
TP.Ho Chi Minh,50,1,2,1,1,1,1,1,1,0,1,1,3,1,1,1,2,1,0,1,1,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,2175243
TP.Ho Chi Minh,50,1,2,1,1,1,1,1,1,0,1,1,3,1,1,1,2,1,0,1,1,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,2318824
TP.Ho Chi Minh,50,1,2,1,1,1,1,1,1,0,1,1,3,1,1,1,2,1,0,1,1,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,2652735
TP.Ho Chi Minh,50,1,2,1,1,1,1,1,1,0,1,1,3,1,1,1,2,1,0,1,1,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1957451
TP.Ho Chi Minh,50,1,2,1,1,1,1,1,1,0,1,1,3,1,1,1,2,1,0,1,1,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,2387135
TP.Ho Chi Minh,50,1,2,1,1,1,1,1,1,0,1,1,3,1,1,1,2,1,0,1,1,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,2205666
TP.Ho Chi Minh,50,1,2,1,1,1,1,1,1,0,1,1,3,1,1,1,2,1,0,1,1,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,2479473
TP.Ho Chi Minh,50,1,2,1,1,1,1,1,1,0,1,1,3,1,1,1,2,1,0,1,1,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,2689836
TP.Ho Chi Minh,50,1,2,1,1,1,1,1,1,0,1,1,3,1,1,1,2,1,0,1,1,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,3023747
TP.Ho Chi Minh,50,1,2,1,1,1,1,1,1,0,1,1,3,1,1,1,2,1,0,1,1,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,2261681
TP.Ho Chi Minh,50,1,2,1,1,1,1,1,1,0,1,1,3,1,1,1,2,1,0,1,1,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,2758147
TP.Ho Chi Minh,50,1,2,1,1,1,1,1,1,0,1,1,3,1,1,1,2,1,0,1,1,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,2662010
TP.Ho Chi Minh,50,1,2,1,1,1,1,1,1,0,1,1,3,1,1,1,2,1,0,1,1,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,3246354
