City,Diện tích,Đồ vệ sinh cá nhân miễn phí,Vòi sen,Áo choàng tắm,Két an toàn,Nhà vệ sinh,Khăn tắm,Bàn làm việc,Khu vực tiếp khách,TV,Tủ lạnh,Điện thoại,Máy sấy tóc,Sàn trải thảm,Ấm đun nước điện,Truyền hình cáp,Tủ hoặc phòng để quần áo,Nhìn ra thành phố,Phòng tắm riêng,Hệ thống cách âm,Minibar,WiFi miễn phí,Ghế sofa,Máy fax,Bếp,Máy giặt,Bàn ăn,Dịch vụ báo thức,Tiện nghi ủi,Giường cực dài (> 2 mét),Ban công,Quyền sử dụng Executive Lounge,Máy pha trà/cà phê,Khăn tắm/Bộ khăn trải giường (có thu phí),Máy sấy quần áo,Có phòng thông nhau qua cửa nối,Chậu rửa vệ sinh (bidet),Các tầng trên đi lên bằng thang máy,Xe lăn có thể đi đến mọi nơi trong toàn bộ khuôn viên,Máy vi tính,Quạt máy,Ghế cao dành cho trẻ em,Các tầng trên chỉ lên được bằng cầu thang,Hồ bơi trên sân thượng,Trò chơi board game/giải đố,Khu vực ăn uống ngoài trời,Phòng xông hơi,Bể sục,Sân trong,price
Ha Noi,16,1,2,1,1,1,1,1,0,1,1,1,1,3,1,1,1,0,0,1,1,1,1,0,1,0,1,1,1,2,0,0,1,0,0,0,1,1,1,0,3,1,0,0,0,0,0,0,0,446970
Ha Noi,20,1,2,1,1,1,1,1,0,1,1,1,1,3,1,1,1,2,0,1,1,1,1,0,1,0,1,1,1,2,0,0,1,0,0,0,1,1,1,0,3,1,0,0,0,0,0,0,0,558360
Ha Noi,18,1,2,1,1,1,1,1,0,1,1,1,1,3,1,1,1,4,0,1,1,1,1,0,1,0,1,1,1,2,0,0,1,0,0,0,1,1,1,0,3,1,0,0,0,0,0,0,0,614290
Ha Noi,23,1,2,1,1,1,1,1,0,1,1,1,1,3,1,1,1,4,0,1,1,1,1,0,1,0,1,0,1,2,1,0,0,0,0,0,1,1,1,0,3,1,0,0,0,0,0,0,0,726150
Ha Noi,30,1,2,1,1,1,1,1,0,1,1,1,1,3,1,1,1,2,0,1,1,1,1,0,1,0,1,1,1,2,0,0,1,0,0,0,1,1,1,0,3,1,0,0,0,0,0,0,0,782080
Ha Noi,32,1,2,1,1,1,1,1,0,1,1,1,1,3,1,1,1,2,0,1,1,1,1,0,1,0,1,1,1,2,1,0,1,0,0,0,1,1,1,0,3,1,0,0,0,0,1,0,0,893470
Ha Noi,25,1,2,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,1207606
Ha Noi,26,1,2,1,1,1,1,1,0,1,0,1,1,1,1,1,1,2,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,1311691
Ha Noi,26,1,2,1,1,1,1,1,0,1,0,1,1,1,1,1,1,2,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,1313573
Ha Noi,35,1,2,1,1,1,1,1,1,1,0,1,1,1,1,1,1,2,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,1456231
Ha Noi,65,1,2,1,1,1,1,1,1,1,0,1,1,1,1,1,1,4,0,0,1,1,1,0,0,0,0,1,1,2,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,2683428
Ha Noi,75,1,2,1,1,1,1,1,1,1,0,1,1,1,1,1,1,2,0,0,1,1,1,0,0,0,0,1,1,2,1,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,2833538
Ha Noi,150,1,2,1,1,1,1,1,1,1,0,1,1,1,1,1,1,4,0,0,1,1,1,0,0,0,0,1,1,2,1,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,5667076
Ha Noi,60,1,2,1,1,1,1,1,0,1,0,1,1,1,1,1,1,2,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,1,0,2,0,0,0,0,0,0,0,0,2587930
Ha Noi,32,1,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,0,1,0,1,1,1,0,1,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,3,0,0,2,0,1,0,0,0,3801970
Ha Noi,32,1,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,0,1,0,1,1,1,0,1,0,1,1,1,1,0,0,1,1,1,0,0,0,0,0,3,0,0,2,0,1,0,0,0,4602386
Ha Noi,48,1,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,0,1,0,1,1,1,0,1,0,1,1,1,2,0,1,1,1,1,0,0,0,0,0,3,0,0,2,0,1,0,0,0,5069294
Ha Noi,48,1,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,0,1,0,1,1,1,0,1,0,1,1,1,2,0,1,1,1,1,0,0,0,0,0,3,0,0,2,1,1,0,0,0,3801972
Ha Noi,64,1,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,0,1,0,1,1,1,0,1,0,1,1,1,2,0,1,1,1,1,0,0,0,0,0,3,0,0,2,1,1,1,0,0,3801970
Ha Noi,64,1,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,0,1,0,1,1,1,0,1,0,1,1,1,2,0,1,1,1,1,0,0,0,0,0,3,0,0,2,1,1,1,0,0,4602386
Ha Noi,64,1,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,0,1,0,1,1,1,0,1,0,1,1,1,2,0,1,1,1,1,0,0,0,0,0,3,0,0,2,1,1,1,0,0,5069294
Ha Noi,64,1,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,0,1,0,1,1,1,0,1,0,1,1,1,2,0,1,1,1,1,0,0,0,0,0,3,0,0,2,1,1,1,0,0,6136515
Ha Noi,64,1,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,0,1,0,1,1,1,0,1,0,1,1,1,2,0,1,1,1,1,0,0,0,0,0,3,0,0,2,1,1,1,0,0,7503803
Ha Noi,64,1,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,0,1,0,1,1,1,0,1,0,1,1,1,2,0,1,1,1,1,0,0,0,0,0,3,0,0,2,1,1,1,0,0,19476763
Ha Noi,64,1,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,0,1,0,1,1,1,0,1,0,1,1,1,2,0,1,1,1,1,0,0,0,0,0,3,0,0,2,1,1,1,0,0,21477684
Ha Noi,28,1,2,1,1,1,1,1,1,1,0,1,1,3,1,1,1,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,1,0,3,0,0,2,0,0,0,0,0,1679667
Ha Noi,28,1,2,1,1,1,1,1,1,1,0,1,1,3,1,1,1,2,0,1,1,1,0,0,0,0,0,1,0,2,0,0,0,1,0,0,1,1,1,0,3,0,0,2,0,0,0,0,0,1730566
Ha Noi,28,1,2,1,1,1,1,1,1,1,0,1,1,3,1,1,1,2,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,1,0,3,1,0,2,0,0,0,0,0,1730566
Ha Noi,28,1,2,1,1,1,1,1,1,1,0,1,1,3,1,1,1,2,0,1,1,1,0,0,0,0,0,1,0,2,0,0,0,1,0,0,1,1,1,0,3,0,0,2,0,0,0,0,0,1934162
Ha Noi,28,1,2,1,1,1,1,1,1,1,0,1,1,3,1,1,1,2,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,1,0,3,1,0,2,0,0,0,0,0,1934162
Ha Noi,30,1,2,1,1,1,1,1,1,1,0,1,1,3,1,1,1,2,0,1,1,1,1,0,0,0,0,1,0,2,0,0,0,1,0,0,1,1,1,0,3,0,0,2,0,0,0,0,0,2239556
Ha Noi,52,1,2,1,1,1,1,1,1,1,0,1,1,3,1,1,1,2,0,1,1,1,1,0,0,0,0,1,1,2,0,0,1,1,0,0,1,1,1,0,3,0,0,2,0,0,0,0,0,2850344
