City,Diện tích,Đồ vệ sinh cá nhân miễn phí,Vòi sen,Áo choàng tắm,Két an toàn,Nhà vệ sinh,Khăn tắm,Bàn làm việc,Khu vực tiếp khách,TV,Tủ lạnh,Điện thoại,Máy sấy tóc,Sàn trải thảm,Ấm đun nước điện,Truyền hình cáp,Tủ hoặc phòng để quần áo,Nhìn ra thành phố,Phòng tắm riêng,Hệ thống cách âm,Minibar,WiFi miễn phí,Ghế sofa,Máy fax,Bếp,Máy giặt,Bàn ăn,Dịch vụ báo thức,Tiện nghi ủi,Giường cực dài (> 2 mét),Ban công,Quyền sử dụng Executive Lounge,Máy pha trà/cà phê,Khăn tắm/Bộ khăn trải giường (có thu phí),Máy sấy quần áo,Có phòng thông nhau qua cửa nối,Chậu rửa vệ sinh (bidet),Các tầng trên đi lên bằng thang máy,Xe lăn có thể đi đến mọi nơi trong toàn bộ khuôn viên,Máy vi tính,Quạt máy,Ghế cao dành cho trẻ em,Các tầng trên chỉ lên được bằng cầu thang,Hồ bơi trên sân thượng,Trò chơi board game/giải đố,Khu vực ăn uống ngoài trời,Phòng xông hơi,Bể sục,Sân trong,price
Da Nang,25,1,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,2,0,1,1,1,1,0,0,0,1,1,0,1,0,1,0,0,0,0,1,1,1,0,2,1,0,2,0,0,0,0,0,402050
Da Nang,32,1,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,2,0,1,1,1,1,0,0,0,1,1,0,1,0,1,0,0,0,0,1,1,1,0,2,1,0,2,0,0,0,0,0,438600
Da Nang,30,1,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,2,0,1,1,1,1,0,0,0,1,1,0,1,0,1,0,0,0,0,1,1,1,0,2,1,0,2,0,0,0,0,0,493425
Da Nang,35,1,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,2,0,1,1,1,1,0,0,0,1,1,0,1,0,1,0,0,0,0,1,1,1,0,2,1,0,2,0,0,0,0,0,548250
Da Nang,70,1,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,2,0,1,1,1,1,0,0,0,1,1,0,1,0,1,0,0,0,0,1,1,1,0,2,1,0,2,0,0,0,0,0,840650
Da Nang,70,1,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,2,0,1,1,1,1,0,0,0,1,1,0,1,0,1,0,0,0,0,1,1,1,0,2,1,0,2,0,0,0,0,0,989000
Da Nang,70,1,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,2,0,1,1,1,1,0,0,0,1,1,0,1,0,1,0,0,0,0,1,1,1,0,2,1,0,2,0,0,0,0,0,1023400
Da Nang,70,1,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,2,0,1,1,1,1,0,0,0,1,1,0,1,0,1,0,0,0,0,1,1,1,0,2,1,0,2,0,0,0,0,0,1204000
Da Nang,70,1,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,2,0,1,1,1,1,0,0,0,1,1,0,1,0,1,0,0,0,0,1,1,1,0,2,1,0,2,0,0,0,0,0,1206150
Da Nang,25,1,2,1,1,1,1,1,1,1,0,1,1,3,1,1,1,2,0,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,2,0,0,2,0,0,0,0,1,720000
